Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"LeSean McCoy (BUF, RB)",540,64,2,585,1607,314,9,0,0,0,1,0,330.7,PHI
"Marshawn Lynch (OAK, RB)",316,44,2,280,1257,301,12,0,0,0,4,0,269.3,SEA
"Matt Forte (NYJ, RB)",592,95,3,500,1341,288,9,0,0,0,2,0,336.29999999999995,CHI
"Ryan Mathews (PHI, RB)",189,33,1,181,1255,285,6,0,0,0,2,0,208.4,SD
"Eddie Lacy (SEA, RB)",257,44,0,307,1178,284,11,0,0,0,1,0,242.5,GB
"Frank Gore (IND, RB)",141,26,0,101,1128,276,9,0,0,0,3,0,190.9,SF
"Alfred Morris (DAL, RB)",78,12,0,79,1275,276,7,0,0,0,5,0,176.3,WAS
"Le'Veon Bell (PIT, RB)",404,60,0,432,857,242,8,0,0,0,1,0,215.10000000000002,PIT
"DeMarco Murray (TEN, RB)",348,66,1,374,1124,217,9,0,0,0,3,0,254.2,DAL
"C.J. Spiller (KC, RB)",197,41,0,239,927,201,2,0,0,0,4,0,150.4,BUF
"Chris Ivory (JAC, RB)",10,7,0,8,833,182,3,0,0,0,2,0,100.3,NYJ
"Lamar Miller (HOU, RB)",170,35,0,166,709,177,2,0,0,0,1,0,123.9,MIA
"Bilal Powell (NYJ, RB)",272,57,0,307,697,176,1,30,0,1,1,0,137.9,NYJ
"Giovani Bernard (CIN, RB)",514,71,3,526,695,170,5,0,0,0,1,0,222.9,CIN
"Bernard Pierce (DEN, RB)",104,25,0,111,436,152,2,0,0,0,0,0,86.0,BAL
"Doug Martin (TB, RB)",66,24,0,57,456,127,1,0,0,0,1,0,68.2,TB
"Andre Ellington (ARI, RB)",371,57,1,260,652,117,3,0,0,0,1,0,163.3,ARI
"Darren McFadden (DAL, RB)",108,25,0,124,379,114,5,16,1,1,1,0,97.7,OAK
"Danny Woodhead (BAL, RB)",605,87,6,411,425,106,2,0,0,0,2,0,223.0,SD
"Jacquizz Rodgers (TB, RB)",341,62,2,366,333,97,2,0,0,0,1,0,141.39999999999998,ATL
"Mark Ingram (NO, RB)",68,11,0,76,386,78,1,0,0,0,0,0,58.400000000000006,NO
"Robert Turbin (IND, RB)",60,12,0,64,264,77,0,0,0,0,1,0,38.4,SEA
"Knile Davis (PIT, RB)",75,15,0,89,242,70,4,0,0,0,3,0,60.7,KC
"Daryl Richardson (JAC, RB)",121,18,0,119,215,69,0,0,0,0,0,0,47.6,STL
"Mike James (DET, RB)",43,11,0,49,295,60,0,2,1,1,0,0,47.8,TB
"Brandon Bolden (NE, RB)",152,28,0,159,268,54,3,0,0,0,0,0,81.0,NE
"Darren Sproles (PHI, RB)",604,89,2,519,220,53,2,0,0,0,3,0,171.4,NO
"Jonathan Stewart (CAR, RB)",44,7,0,42,180,48,0,0,0,0,1,0,27.4,CAR
"Benny Cunningham (CHI, RB)",59,10,0,61,261,47,1,0,0,0,1,0,42.0,STL
"Shane Vereen (NYG, RB)",427,69,3,269,208,44,1,0,0,0,1,0,132.5,NE
"Lance Dunbar (LA, RB)",59,7,0,61,150,30,0,0,0,0,1,0,25.9,DAL
"Fozzy Whittaker (CAR, RB)",155,36,2,154,80,29,0,0,0,0,1,0,54.5,CLE
"Christine Michael (GB, RB)",0,0,0,0,79,18,0,0,0,0,0,0,7.9,SEA
"Tommy Bohanon (JAC, RB)",69,16,0,61,62,17,0,0,0,0,0,0,24.099999999999998,NYJ
"Theo Riddick (DET, RB)",26,8,0,17,25,9,1,0,0,0,0,0,15.1,DET
"Cedric Peerman (CIN, RB)",0,0,0,0,17,8,0,0,0,0,0,0,1.7,CIN
"C.J. Anderson (DEN, RB)",0,1,0,0,38,7,0,0,0,0,0,0,3.8,DEN
"Mike Gillislee (NE, RB)",0,0,0,0,21,6,0,0,0,0,0,0,2.1,MIA
"Kenjon Barner (SD, RB)",7,3,0,12,7,6,0,0,0,0,0,0,3.4000000000000004,CAR
"Taiwan Jones (OAK, RB)",55,3,0,40,23,5,0,0,0,0,2,0,5.800000000000001,OAK
"Shaun Draughn (NYG, RB)",0,0,0,0,2,4,0,0,0,0,0,0,0.2,BAL
"Spencer Ware (KC, RB)",0,0,0,0,10,3,0,0,0,0,0,0,1.0,SEA
"Derrick Coleman (ATL, RB)",62,8,1,46,3,2,0,0,0,0,1,0,18.5,SEA
"Patrick DiMarco (BUF, RB)",49,10,0,36,0,0,0,0,0,0,0,0,12.9,ATL
"Travaris Cadet (NO, RB)",5,2,1,6,0,0,0,0,0,0,0,0,8.5,NO
"Joe Banyard (BUF, RB)",11,1,0,12,0,0,0,0,0,0,0,0,2.1,MIN
"Chris Thompson (WAS, RB)",0,0,0,0,0,0,0,0,0,0,0,0,0.0,WAS
"Kerwynn Williams (ARI, RB)",0,0,0,0,0,0,0,0,0,0,0,0,0.0,IND
